NEIGHBOURHOOD_158,HOOD_158,OFFENCE_YEAR,OFFENCE_CATEGORY,Total_Tickets
Bedford Park-Nortown,39,2018,Distracted Driving,71
Bedford Park-Nortown,39,2018,Other HTA,190
Bedford Park-Nortown,39,2018,Speeding,133
Bedford Park-Nortown,39,2019,Aggressive Driving,157
Bedford Park-Nortown,39,2019,All CAIA,59
Bedford Park-Nortown,39,2019,Distracted Driving,25
Bedford Park-Nortown,39,2019,Other HTA,172
Bedford Park-Nortown,39,2019,Speeding,90
Bedford Park-Nortown,39,2020,Aggressive Driving,92
Bedford Park-Nortown,39,2020,All CAIA,460
Bedford Park-Nortown,39,2020,Distracted Driving,29
Bedford Park-Nortown,39,2020,Other HTA,753
Bedford Park-Nortown,39,2020,Speeding,2659
Bedford Park-Nortown,39,2021,Aggressive Driving,122
Bedford Park-Nortown,39,2021,All CAIA,490
Bedford Park-Nortown,39,2021,Distracted Driving,21
Bedford Park-Nortown,39,2021,Other HTA,686
Bedford Park-Nortown,39,2021,Speeding,2349
Bedford Park-Nortown,39,2022,Aggressive Driving,61
Bedford Park-Nortown,39,2022,All CAIA,260
Bedford Park-Nortown,39,2022,Distracted Driving,256
Bedford Park-Nortown,39,2022,Other HTA,435
Bedford Park-Nortown,39,2022,Speeding,1057
Bedford Park-Nortown,39,2023,Aggressive Driving,121
Bedford Park-Nortown,39,2023,All CAIA,98
Bedford Park-Nortown,39,2023,Distracted Driving,166
Bedford Park-Nortown,39,2023,Other HTA,351
Bedford Park-Nortown,39,2023,Speeding,445
Beechborough-Greenbrook,112,2014,Aggressive Driving,235
Beechborough-Greenbrook,112,2014,All CAIA,113
Beechborough-Greenbrook,112,2014,Distracted Driving,12
Beechborough-Greenbrook,112,2014,Other HTA,314
Beechborough-Greenbrook,112,2014,Speeding,148
Beechborough-Greenbrook,112,2015,Aggressive Driving,338
Beechborough-Greenbrook,112,2015,All CAIA,140
Beechborough-Greenbrook,112,2015,Distracted Driving,16
Beechborough-Greenbrook,112,2015,Other HTA,289
Beechborough-Greenbrook,112,2015,Speeding,334
Beechborough-Greenbrook,112,2016,Aggressive Driving,540
Beechborough-Greenbrook,112,2016,All CAIA,153
Beechborough-Greenbrook,112,2016,Distracted Driving,10
Beechborough-Greenbrook,112,2016,Other HTA,304
Beechborough-Greenbrook,112,2016,Speeding,168
Beechborough-Greenbrook,112,2017,Aggressive Driving,449
Beechborough-Greenbrook,112,2017,All CAIA,119
Beechborough-Greenbrook,112,2017,Distracted Driving,8
Beechborough-Greenbrook,112,2017,Other HTA,237
Beechborough-Greenbrook,112,2017,Speeding,101
Beechborough-Greenbrook,112,2018,Aggressive Driving,409
Beechborough-Greenbrook,112,2018,All CAIA,122
Beechborough-Greenbrook,112,2018,Distracted Driving,9
Beechborough-Greenbrook,112,2018,Other HTA,227
Beechborough-Greenbrook,112,2018,Speeding,41
Beechborough-Greenbrook,112,2019,Aggressive Driving,596
Beechborough-Greenbrook,112,2019,All CAIA,159
Beechborough-Greenbrook,112,2019,Distracted Driving,14
Beechborough-Greenbrook,112,2019,Other HTA,292
Beechborough-Greenbrook,112,2019,Speeding,77
Beechborough-Greenbrook,112,2020,Aggressive Driving,562
Beechborough-Greenbrook,112,2020,All CAIA,150
Beechborough-Greenbrook,112,2020,Distracted Driving,9
Beechborough-Greenbrook,112,2020,Other HTA,242
Beechborough-Greenbrook,112,2020,Speeding,204
Beechborough-Greenbrook,112,2021,Aggressive Driving,281
Beechborough-Greenbrook,112,2021,All CAIA,126
Beechborough-Greenbrook,112,2021,Distracted Driving,14
Beechborough-Greenbrook,112,2021,Other HTA,222
Beechborough-Greenbrook,112,2021,Speeding,952
Beechborough-Greenbrook,112,2022,Aggressive Driving,222
Beechborough-Greenbrook,112,2022,All CAIA,121
Beechborough-Greenbrook,112,2022,Distracted Driving,20
Beechborough-Greenbrook,112,2022,Other HTA,244
Beechborough-Greenbrook,112,2022,Speeding,293
Beechborough-Greenbrook,112,2023,Aggressive Driving,878
Beechborough-Greenbrook,112,2023,All CAIA,134
Beechborough-Greenbrook,112,2023,Distracted Driving,9
Beechborough-Greenbrook,112,2023,Other HTA,398
Beechborough-Greenbrook,112,2023,Speeding,101
